"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2021-07-07","93.2","-1.03","5.47","deGrom, Jacob",649966,594798,,"ball",,,,,14,,"R","R","R","NYM","MIL","B",,,2,1,2021,"0.19","0.46",1.6960761317985031,1.4200045302893687,,,,1,6,"Top",,,,,,,6.629329140552195,-135.58720753008174,-5.777236244705189,1.1583473176461418,25.918242972808397,-25.459001171305726,3.34068709698964,1.61825856053902,,,,"94.4",2448,"6.7",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.78",,,,,,,,39,4,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",179,"-0.008","0.131",,,,,"-0.131",,-1,1,0.276,0.724,33,24,33,24,3,2,6,2,,0,"2.14","-0.19","-0.19","36.8",,,,,
"SL","2021-07-07","92.9","-1.12","5.56","deGrom, Jacob",649966,594798,,"called_strike",,,,,3,,"R","R","R","NYM","MIL","S",,,2,0,2021,"0.31","0.28",0.6563353898771522,2.979006911406305,,,,1,6,"Top",,,,,,,3.8934954006946363,-135.43204639360732,-1.5217584931950865,3.1046504958268324,26.83741725025759,-28.620934550277898,3.32841113157366,1.53028740809415,,,,"94",2506,"6.6",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.87",,,,,,,,39,3,"Slider",1,2,2,1,2,1,2,1,"Strategic","Standard",161,"0.005","-0.07",,,,,"0.07",,-1,1,0.271,0.729,33,24,33,24,3,2,6,2,,0,"2.33","-0.31","-0.31","35.3",,,,,
"SL","2021-07-07","94.7","-1.09","5.44","deGrom, Jacob",649966,594798,,"ball",,,,,14,,"R","R","R","NYM","MIL","B",,,1,0,2021,"-0.08","0.34",1.0935864840712473,0.8448151036405132,,,,1,6,"Top",,,,,,,5.9258042532660795,-137.74159066392875,-7.198642598357966,-2.1875609492615173,26.7805946241992,-26.585190207393204,3.36914579231748,1.65856509984534,,,,"95.9",2390,"6.7",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.79",,,,,,,,39,2,"Slider",1,2,2,1,2,1,2,1,"Strategic","Standard",195,"-0.005","0.079",,,,,"-0.079",,-1,1,0.276,0.724,33,24,33,24,3,2,6,2,,0,"2.18","0.08","0.08","35.4",,,,,
"FF","2021-07-07","99","-0.96","5.45","deGrom, Jacob",649966,594798,,"ball",,,,,12,,"R","R","R","NYM","MIL","B",,,0,0,2021,"-0.66","1.26",1.5759249553017092,2.963847493861742,,,,1,6,"Top",,,,,,,8.534152335175378,-143.95062959938565,-4.364171940542315,-11.106549001270672,31.505974627941818,-13.811663908371159,3.36175876950706,1.56278486952422,,,,"100.1",2244,"6.8",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.72",,,,,,,,39,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Strategic","Standard",221,"-0.002","0.041",,,,,"-0.041",,-1,1,0.278,0.722,33,24,33,24,3,2,6,2,,0,"1.06","0.66","0.66","35.0",,,,,
"SL","2021-07-07","90.4","-1.14","5.6","deGrom, Jacob",669203,594798,"field_out","hit_into_play",,,,,14,"Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","X",1,"ground_ball",1,2,2021,"0.65","0.06",0.9214405526070841,2.096978862616974,,,,0,6,"Top",125.51,181.32,,,,,3.8049829052962596,-131.7599256619791,-2.9905221478843043,6.81293620779358,25.9425016144064,-31.09370830473586,3.49,1.601,2,"70.7",-40,"91.7",2485,"6.8",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.71",0.058,0.063,"0",1,0,0,2,38,5,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",160,"0.016","-0.194",,,,0.058,"0.194","88.0",-1,1,0.262,0.738,33,26,33,27,2,1,6,6,,11,"2.7","-0.65","-0.65","38.8",,,,,
"FF","2021-07-07","99.9","-0.93","5.44","deGrom, Jacob",669203,594798,,"foul",,,,,12,,"R","R","R","NYM","MIL","S",,,1,2,2021,"-0.82","1.32",0.8436938177672312,3.157226754160563,,,,0,6,"Top",,,,,,,6.894187910350109,-145.37943074218316,-4.036358714240308,-13.293632215850781,34.29155507119988,-12.73845449560371,3.49,1.601,229,"76.8",49,"100.7",2495,"6.7",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.77",,,,,,,,38,4,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",215,"0","0",,,,,"0","88.0",-1,1,0.262,0.738,33,26,33,27,2,1,6,6,,11,"0.97","0.82","0.82","34.3",,,,,
"SL","2021-07-07","93.4","-1.04","5.5","deGrom, Jacob",669203,594798,,"ball",,,,,14,,"R","R","R","NYM","MIL","B",,,0,2,2021,"0.27","0.25",1.9442235212090275,1.9725079312753946,,,,0,6,"Top",,,,,,,7.123444307891469,-135.9257560921039,-3.9409007982598365,1.9180550208245164,28.264281003027417,-28.412200462109922,3.67890983362647,1.86526219616209,,,,"94.1",2609,"6.6",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.91",,,,,,,,38,3,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",175,"-0.002","0.024",,,,,"-0.024",,-1,1,0.264,0.736,33,26,33,27,2,1,6,6,,11,"2.35","-0.27","-0.27","37.4",,,,,
"FF","2021-07-07","99.7","-1.07","5.47","deGrom, Jacob",669203,594798,,"called_strike",,,,,14,,"R","R","R","NYM","MIL","S",,,0,1,2021,"-0.92","1.39",0.9316965508287063,1.8319718690746845,,,,0,6,"Top",,,,,,,7.735736082477006,-144.8611411818765,-7.8931269289552475,-14.819727279606507,34.7353259250289,-10.96074370828979,3.65443985954112,1.79000000001817,,,,"100.3",2570,"6.7",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.76",,,,,,,,38,2,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",215,"0.006","-0.058",,,,,"0.058",,-1,1,0.258,0.742,33,26,33,27,2,1,6,6,,11,"0.92","0.92","0.92","33.6",,,,,
"FF","2021-07-07","98.7","-1.15","5.5","deGrom, Jacob",669203,594798,,"called_strike",,,,,6,,"R","R","R","NYM","MIL","S",,,0,0,2021,"-0.88","1.43",0.7176227002638215,2.6157699996118664,,,,0,6,"Top",,,,,,,7.19374229941199,-143.43648079613288,-5.766954527681293,-13.801536434020246,35.04227381778133,-11.240002316114504,3.7583867945144,1.79505460480748,,,,"99.4",2488,"6.9",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.62",,,,,,,,38,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",214,"0.003","-0.042",,,,,"0.042",,-1,1,0.255,0.745,33,26,33,27,2,1,6,6,,11,"0.92","0.88","0.88","35.0",,,,,
"CH","2021-07-07","91.6","-0.94","5.4","deGrom, Jacob",598265,594798,"strikeout","swinging_strike",,,,,7,"Jackie Bradley strikes out swinging.","R","L","R","NYM","MIL","S",2,,0,2,2021,"-1.13","0.35",-0.3211978648919007,1.5395578353318018,,,,2,5,"Top",,,,,,,4.051777982021663,-133.48308722268501,-4.8292505442865705,-14.366460624724615,22.57699481877683,-27.270353299834646,3.301,1.504,,,,"93.8",1544,"7",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.49",,0,"0",1,0,0,,33,3,"Changeup",1,2,2,1,2,1,2,1,"Infield shift","Standard",235,"0.008","-0.159",,,,,"0.159",,-1,1,0.356,0.644,33,31,33,31,2,1,6,2,,0,"2.31","1.13","-1.13","35.0",,,,,
