PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,CustomTags,CustomLabel,TagSet
11,2026-06-24,14:24:17.96,"Allison, Chris",1000542939,Right,,,,,,ChangeUp,Live,,73.87784,1.503378017,-0.2874969975,1641.398611,180.3829348,12:00,5.67733,0.86596,,-45.7518,9.11263,0.06119,3.30456,0.59577,66.96259,-6.867986437,-0.2762561918,0.5331100286,-0.11964,4.18292,-0.83451,50,5.79655,0.53548,-107.1334,1.2478,-0.13763,20.27639,-27.3623,4546dc8c-415e-47d2-ac32-d387703d4fd7,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,34.24980201,1356.766458,0.8265916939,,df883180-6676-483f-88fa-b92d3075e28b,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
12,2026-06-24,14:25:07.86,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,74.51923,0.9524843277,0.05765888062,1847.44958,198.583132,12:30,5.76396,0.64741,4.58969,-36.79281,16.63845,5.60818,3.60386,1.1696,67.09523,-5.849165571,1.097561027,0.5261010036,-2.88184,8.29594,-0.65835,50,5.82946,-0.29238,-108.10112,0.59277,-3.3552,21.67579,-22.51545,b05a599a-7590-44d5-b8c5-ea9854bc9c5b,09a40e25-d9f5-4ff6-8f16-977d86eae17e,71.64487,Pitching,23360159,,,,,,,,,,,,,,,,,,,,24.99490729,1674.427332,0.9063453477,,ba71ca6a-6ef7-4fe2-9c25-5aeab56a219c,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
13,2026-06-24,14:25:26.17,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,75.60793,0.869275652,-0.06144510076,2015.409087,199.0788658,12:45,5.71244,0.59752,5.42728,-34.42703,15.8028,5.47957,3.65762,0.99661,68.16969,-5.589869591,0.9695035797,0.5100964108,-2.93819,8.13458,-0.59579,50,5.76611,-0.04347,-109.85292,0.65349,-3.53381,22.32179,-22.39046,d2fcf995-c8b3-4039-b7d5-89fac150f767,09a40e25-d9f5-4ff6-8f16-977d86eae17e,73.89277,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.27248223,1774.980749,0.880704945,,511aad80-e85f-47bb-b7fa-9915601e4a3b,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
14,2026-06-24,14:25:45.42,"Allison, Chris",1000542939,Right,,,,,,Slider,Live,,69.66503,1.926498562,-1.018116921,1994.712976,88.78133633,9:00,5.63821,0.79789,4.68367,-61.12992,-0.13642,-4.13592,2.3741,-0.5135,63.22279,-9.339985725,-1.785948855,0.5620994956,1.815,-0.69773,-0.69098,50,5.78097,1.92012,-101.01665,1.55205,1.84503,18.94412,-32.88332,341b3600-cacc-4df0-88d2-c9f0e07fcb4e,09a40e25-d9f5-4ff6-8f16-977d86eae17e,67.05653,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,266018a4-a0eb-443e-8845-45255d243f3e,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
15,2026-06-24,14:26:08.67,"Allison, Chris",1000542939,Right,,,,,,Curveball,Live,,64.86498,2.073094444,0.6824105713,2063.432968,64.06748821,8:15,5.70331,0.69152,,-77.31613,-4.58566,-9.29177,1.25536,0.57363,58.91037,-11.98005901,-1.028056607,0.6138038302,4.94739,-3.0397,-0.75946,50,5.85797,-0.83414,-93.87738,1.0351,4.31535,17.20393,-34.82542,5125a104-75dd-4e57-9647-9eb0b9390536,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,40678432-7139-4c9b-acfe-e201a4520816,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
16,2026-06-24,14:26:42.95,"Allison, Chris",1000542939,Right,,,,,,Curveball,Live,,67.17348,2.378653854,1.166385928,1959.731179,55.81777826,7:45,5.65567,0.64056,4.0063,-74.17438,-6.5431,-9.53314,1.76275,0.96748,60.93256,-11.12469606,-0.5874859127,0.5918957298,5.23154,-4.12398,-0.76275,50,5.84769,-1.67823,-97.21219,1.6968,4.90433,18.13142,-36.0401,643c71bf-83b2-41a1-95b3-f77223e81fcd,09a40e25-d9f5-4ff6-8f16-977d86eae17e,63.68088,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,4f67a28a-5eff-439b-8e7d-f4d61ae81d15,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
17,2026-06-24,14:27:06.78,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.02533,-0.05361170788,-1.677523826,1963.175419,188.9779998,12:15,5.71401,0.68221,4.89767,-34.86886,15.81965,2.5071,2.75755,-0.69575,68.66055,-6.520088025,-1.210740153,0.5124201274,-1.84789,8.28427,-0.5202,50,5.68053,3.15081,-110.32941,-1.22117,-2.24448,22.30101,-22.1118,b684f200-dae0-40dc-856b-1380e0180b19,09a40e25-d9f5-4ff6-8f16-977d86eae17e,73.55769,Pitching,23360159,,,,,,,,,,,,,,,,,,,,32.4664564,1656.342608,0.8437058613,,6f69a73c-20cb-4dad-9dac-62a4d2f5aad6,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
18,2026-06-24,14:27:30.49,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,74.61185,0.1120361543,-0.7625087928,1886.232737,179.3288826,12:00,5.68491,0.7885,,-42.9148,10.60424,-0.12475,2.21588,0.04848,67.99571,-7.716703715,-0.7854007478,0.5265329508,-0.16384,5.37558,-0.70536,50,5.65474,1.44522,-108.26619,-1.26686,-0.19309,20.14341,-25.83849,b0853921-92f8-4ff2-be78-bb7192874d30,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,31.56492699,1607.159939,0.852047527,,7a8ad42c-a3f7-4b89-aae9-a5dcbfa60530,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
19,2026-06-24,14:27:48.88,"Allison, Chris",1000542939,Right,,,,,,Slider,Live,,69.12375,1.496547439,-0.851559895,2089.955717,58.30639274,8:00,5.65347,0.681,4.71559,-64.91162,-3.08952,-4.92206,1.66468,-0.53725,62.98495,-10.44339425,-1.765741468,0.5659046654,2.28064,-2.09014,-0.59083,50,5.74897,1.6373,-100.26791,0.68175,2.28498,18.60951,-34.26816,25f070a0-3bc3-4ffa-9a6f-e2d5255f07d4,09a40e25-d9f5-4ff6-8f16-977d86eae17e,66.60563,Pitching,23360159,,,,,,,,,,,,,,,,,,,,70.02835238,713.8350376,0.3415551018,,ba525cc6-3d37-41d2-8d74-922e392e4e90,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
20,2026-06-24,14:28:20.71,"Allison, Chris",1000542939,Right,,,,,,ChangeUp,Live,,73.31162,0.2804499526,-1.475469729,1407.046766,162.7512236,11:30,5.62563,0.61448,4.9097,-51.7174,2.77889,-0.87716,1.5811,-0.85396,66.6457,-9.272997587,-1.638835693,0.5313183813,-0.01606,1.36273,-0.46982,50,5.6113,2.76764,-106.39905,-1.07475,-0.01814,20.80968,-30.63532,3c48e7eb-8738-481e-aa82-0561719ac889,09a40e25-d9f5-4ff6-8f16-977d86eae17e,70.94134,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,4c7086d2-ce4f-4928-891a-4d5f2ef7d183,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
21,2026-06-24,14:28:37.60,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,75.50474,1.010107972,-0.3605099829,1997.606263,192.9673064,12:30,5.77713,0.73199,,-40.01234,13.97623,3.22828,3.4213,0.65181,68.01794,-6.250673904,0.2273238141,0.5288375689,-1.72718,6.65598,-0.69228,50,5.85196,0.56714,-109.34765,0.42958,-2.06135,21.84994,-24.23028,5621f04d-2eaa-4603-9682-0088f6c6d155,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,34.77060937,1640.917396,0.8214418561,,6dc4549a-de54-4673-b3d4-2c1d55eb489f,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
22,2026-06-24,14:29:08.22,"Allison, Chris",1000542939,Right,,,,,,Curveball,Live,,67.93257,3.84918429,1.181342199,1965.662609,54.53455845,7:45,5.63303,0.61133,,-74.68993,-6.26537,-8.68016,3.17367,1.04161,61.2268,-9.583571455,-0.3908852916,0.5953569084,4.66813,-4.36936,-0.75176,50,6.03071,-1.71717,-98.03022,3.97844,4.45714,18.21519,-36.34592,45634819-ad47-4cad-a029-580faad744df,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,8ee23def-872f-4c25-8ca2-0f0a4a5b3c58,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
23,2026-06-24,14:29:21.96,"Allison, Chris",1000542939,Right,,,,,,Curveball,Live,,68.13104,1.07786099,0.8358774349,2088.251603,68.7382384,8:15,5.59303,0.85531,4.85065,-66.166,-2.66667,-6.71186,1.09964,1.08722,61.99731,-11.1276608,-0.4166454748,0.5735297568,3.78639,-1.75432,-0.93222,50,5.64515,-1.24874,-98.83864,-0.04577,3.67247,18.62097,-33.87559,4d4a9783-c317-42d5-b12b-c547582fd026,09a40e25-d9f5-4ff6-8f16-977d86eae17e,65.72011,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,ad4eda47-616f-458d-9234-7dc7af26ce6c,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
24,2026-06-24,14:30:15.65,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.49755,1.866170151,0.08033564961,1973.59721,198.6184335,12:30,5.752,0.75385,,-37.28164,16.26752,5.4925,4.46807,1.29,68.65436,-4.859070892,1.072948516,0.5266810894,-2.67558,7.40204,-0.77138,50,5.94298,-0.37329,-110.65273,2.12465,-3.2686,22.44846,-23.13143,02b159cc-d47b-48b8-b0ac-b5aafbb687ba,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,25.34579987,1783.620023,0.9037406487,,5dda80be-6ec9-47af-ba9a-47f5bf93e00c,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
25,2026-06-24,14:30:48.67,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,75.01183,-0.2246873267,-0.5390922023,1953.65149,190.5090071,12:15,5.7495,0.7022,4.77005,-37.10034,15.09615,2.80852,2.44481,0.42521,67.94033,-7.078498633,-0.01752794668,0.519986497,-1.63027,7.92083,-0.65067,50,5.69571,0.93398,-108.89163,-1.62398,-1.93249,21.39532,-22.78484,2f72246e-5ec7-4fe7-8fb7-dbd1dbf0f1e2,09a40e25-d9f5-4ff6-8f16-977d86eae17e,72.48734,Pitching,23360159,,,,,,,,,,,,,,,,,,,,42.75908656,1434.399934,0.7342148489,,abb94636-f118-4834-87b0-eda2cabba9fe,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
26,2026-06-24,14:56:31.05,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,80.52835,-1.455264364,-2.591432015,2119.318073,216.0056216,1:15,6.24513,1.51173,5.49184,-26.34511,17.74172,12.91776,2.68687,0.16272,72.95029,-6.381474177,-0.1656072763,0.4778877128,-7.69114,9.91086,-1.29369,50,6.10032,4.88951,-116.91258,-3.79291,-10.52764,24.31328,-18.60805,7e988993-d003-4e1b-8d08-172937ec26da,09a40e25-d9f5-4ff6-8f16-977d86eae17e,78.873,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.80617806,1857.062483,0.8762547287,,ea86ce20-c4dd-46d7-81ef-1bbf16362571,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
27,2026-06-24,14:56:43.77,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,78.78911,0.1479127615,-1.527421483,2027.625084,237.843636,2:00,6.16948,1.59808,5.05053,-34.68878,12.43217,19.84701,3.41829,1.81125,70.85177,-6.31792457,2.187948825,0.4940585375,-10.95244,6.49051,-1.46803,50,6.15694,2.4063,-114.33491,-0.82756,-14.21567,24.90879,-23.74972,e466d118-e515-4f32-a0e6-218d81e545f4,09a40e25-d9f5-4ff6-8f16-977d86eae17e,76.29144,Pitching,23360159,,,,,,,,,,,,,,,,,,,,46.4982568,1395.769752,0.6883766446,,5246432e-4522-474c-b2eb-ef65bb925aff,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
28,2026-06-24,14:56:57.14,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,79.76912,-0.2883354537,-1.234336539,2012.688923,221.504703,1:30,6.1132,1.54171,4.87738,-31.26879,15.02742,13.33315,3.23462,1.48488,71.60905,-6.103737825,1.255472881,0.4897158076,-7.3887,7.95605,-1.43141,50,6.05954,2.04582,-115.72673,-1.63244,-9.81863,25.64737,-21.60148,e6efeb38-6fc4-4665-be75-74e63ee7c303,09a40e25-d9f5-4ff6-8f16-977d86eae17e,76.96799,Pitching,23360159,,,,,,,,,,,,,,,,,,,,32.20013404,1703.121103,0.8461919195,,00db1000-03d4-4f6b-9a0e-d5dd1f8de251,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
29,2026-06-24,14:57:19.50,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,81.10203,-0.2246778906,-2.208274741,2158.958174,218.3489859,1:15,6.1372,1.50826,5.21855,-30.91559,12.8768,10.22255,3.34952,0.28312,73.5737,-5.978599953,-0.2995959002,0.476289191,-6.06599,6.86389,-1.31213,50,6.09386,4.20648,-117.77889,-1.47582,-8.4448,24.23041,-22.61844,d7ffcd62-6f48-408a-90cf-1da61904cd51,09a40e25-d9f5-4ff6-8f16-977d86eae17e,79.13772,Pitching,23360159,,,,,,,,,,,,,,,,,,,,44.09201974,1550.613889,0.7182232188,,185e9745-cea0-4a4f-b892-e652990e9d79,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
30,2026-06-24,14:57:49.27,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,80.49898,-0.1601094542,-3.646668058,1550.054218,220.7829489,1:15,6.20342,1.51394,,-32.356,14.0615,12.18642,3.35425,-0.94913,71.88434,-6.147779616,-1.386674911,0.4903569048,-7.55754,7.31927,-1.14274,50,6.15723,6.99009,-116.46469,-1.47442,-10.14078,26.57718,-22.35297,c2bdc0c2-6f39-4d5f-b29d-253dc8a7c54b,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,30.69914263,1332.829482,0.8598599113,,c6a327e9-9775-4490-9512-3251d7c10d5c,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,+5%,Pitching Bullpen
31,2026-06-24,14:58:15.23,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,79.39604,-0.348961638,-3.212097727,1489.923042,230.7908912,1:45,6.08886,1.5059,,-35.03962,13.14013,16.17376,2.8324,-0.24192,71.78954,-6.723669477,-0.2588951016,0.4995784018,-9.1546,6.73879,-1.15427,50,6.01086,5.8354,-114.93013,-2.03246,-12.11462,23.41236,-23.25636,59149703-c0f4-4b70-9a66-2d100085d222,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,2d023c39-97b6-471c-942d-430654e6b4a0,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,+5%,Pitching Bullpen
32,2026-06-24,14:58:36.37,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,81.34726,-2.820654471,-4.849784283,1569.538742,234.3770681,1:45,5.92051,1.96275,5.16483,-35.12664,9.47558,13.23054,0.32728,-1.50944,73.03373,-9.349328666,-2.371046209,0.4806728912,-8.69678,6.00175,-1.51991,50,5.63094,9.53895,-117.50396,-6.95436,-11.86256,27.32707,-23.98756,ba80f46d-6671-456d-a50c-c7c6e457d6a0,09a40e25-d9f5-4ff6-8f16-977d86eae17e,78.41599,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,3a39cfcf-18b5-45da-b0a1-af45bb3b39d2,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,+5%,Pitching Bullpen
33,2026-06-24,14:58:56.38,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,76.32959,-0.9902034256,-4.577457755,1603.226135,217.6956719,1:15,5.91154,1.70359,5.38506,-37.24389,12.6384,9.81808,1.87681,-1.77733,68.71036,-7.95099815,-2.735063172,0.5083286448,-6.77165,7.06283,-1.3009,50,5.79739,8.55519,-110.49953,-3.02229,-8.20433,23.37775,-23.61693,cecc2a83-cd9a-4741-81de-a5cffe01aaf1,09a40e25-d9f5-4ff6-8f16-977d86eae17e,74.14974,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,c2d87428-ce9e-4806-9d89-901bad2ef53d,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,+5%,Pitching Bullpen
34,2026-06-24,14:59:28.11,"Colwell, Cooper",1000499454,Right,,,,,,Sinker,Live,,81.75228,-0.2004882883,-2.149808409,2130.949657,190.8712356,12:15,6.10721,1.44095,5.30208,-24.39598,18.63001,3.58718,3.8859,-0.27895,73.92473,-4.756599359,-1.478735839,0.4721030761,-2.56426,9.92739,-1.24842,50,6.0717,4.34007,-118.72861,-1.21057,-3.62106,25.00442,-18.15531,d517494b-8e44-4c17-9b4d-964bcd9b9aea,09a40e25-d9f5-4ff6-8f16-977d86eae17e,79.83943,Pitching,23360159,,,,,,,,,,,,,,,,,,,,40.12175807,1629.487637,0.7646767398,,b2c3a6a2-243e-43ad-b6fc-4300ffbd68b4,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
