team_code,pitch_count,school_name
PRA_PRA1,1120,
16U_CHA23,1117,
16U_CHA31,1116,
SHA_STA1,1116,
202_BTS2,1109,
COL_INT,1109,
SOU_SOU8,1108,
DAL_COL,1107,
MER_COM1,1104,
14U_CHA18,1102,
WIL_WOO,1101,
CON_MOU,1098,
ST._EDW,1096,
15U_CHA14,1095,
15U_CHA3,1093,
14U_CHA12,1090,
16U_CHA36,1089,
IND_WES,1089,
17U_CHA20,1088,
15U_CHA12,1084,
17U_CHA18,1084,
CAT_VAL1,1082,
16U_CHA32,1080,
14U_CHA15,1076,
CLA_COU,1074,
JUN_COL,1074,
SOU_BAP,1074,
WES_OKL,1074,
17U_CHA15,1070,
UMP_COM,1070,
WIL_JEW,1069,
13U_CHA,1068,
LEW_UNI,1068,
BEL_COL,1057,
LYN_UNI,1055,
NOR_CEN4,1055,
202_BTS3,1053,
FRA_COL,1053,
OKL_CHR,1045,
CEN_MUL,1043,
WAL_WAL4,1035,
COL_COM,1033,
OAK_CIT,1033,
NEW_MEX,1030,
CLO_COU1,1028,
SOU_MTC,1027,
15U_CHA19,1023,
UNI_SCR,1023,
LIN_UNI2,1016,
UNI_FIN,1014,
SNT_LEO,1013,
MES_COM,1012,
13U_CHA5,1011,
COL_SPR,1010,
EAS_OKL,1007,
BAR_COL1,1006,
14U_CHA24,1005,
FEL_UNI,1003,
202_WOM,1002,
202_WOM1,1002,
OHL_COL,1002,
SOU_COM1,995,
KUT_GOL,994,
17U_CHA17,993,
DAK_COU,991,
LEN_COL,988,
13U_CHA9,985,
WEA_WEA,984,
CHI_COL,982,
PAS_CIT,981,
PUG_SOU,979,
17U_CHA5,974,
SHI_UNI,972,
RED_COM,971,
IOW_WES,969,
16U_CHA38,967,
13U_CHA15,966,
13U_CHA8,966,
ALB_STA,964,
HIN_COM,963,
15U_CHA32,960,
ECK_COL,958,
14U_CHA17,951,
SAL_UNI,950,
LIN_TCO,945,
17U_CHA12,943,
SUN_POL,943,
17U_CHA11,942,
SUL_ROS,942,
FNT_COM,941,
PRA,937,
13U_CHA12,936,
SOU_ARK2,935,
CIN_CLE,934,
CAM_UNI,929,
CON_CHI,929,
UNI_COL,928,
ALL_HAN,927,
SCO_CCO,927,
CAS_COL,926,
15U_CHA25,923,
16U_CHA24,921,
LIN_CCW,921,
UNI_NOR1,918,
HAR_SIM,914,
NOR_OKL,912,
WOO_FIG,912,
16U_CHA40,911,
WES_COL1,910,
LOU_CHR,907,
CHA_15U14,905,
EDM_COM,902,
WES_UNI,899,
SAU_VAL1,894,
DAV_ELK,890,
15U_CHA24,886,
WIL_BAP,886,
NOR_MIS2,885,
PIE_LIO,884,
TESTA,881,
DEP_UNI,880,
HIG_COM3,879,
COA_GUA,878,
OTT_UNI,878,
RICA,875,
PAS_COM,871,
YOR_COL,866,
UNI_ALA,865,
NOR_JUN,863,
BOW_COL,862,
CHA_UNI,862,
DRE_UNI,858,
HOB_COL,858,
CAL_MIR,853,
GRA_VAL1,852,
WAY_BAP,852,
FLO_TEC,851,
GOL_COL,851,
15U_CHA31,850,
13U_CHA7,846,
DFW_POS,845,
PER_STA,842,
POT_STA,842,
TAL_STA,841,
SEW_TIG,839,
WIL_COL,830,
15U_CHA27,827,
GLE_COM,812,
JAC_STA,812,
RIV_CIT,812,
SCO_FLO,812,
SLI_ROC,811,
UNI_MOB,810,
TRI_COL1,807,
BER_COL1,805,
COL_COL10,804,
PAR_VCC,802,
PIT_COL,801,
UNI_ARK1,799,
IMM_UNI,798,
CAL_POL1,793,
MCP_COL,793,
POI_UNI,793,
AMH_COL,788,
MAR_SCT,788,
NOR_COM,785,
DIL_UNI,782,
ELL_COM,778,
SAG_VAL,778,
